16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2024-12-23 16:58:59.354989
16:58:59 23.12.2024 [             deliver.file]: |   INFO|: Files at C:\Users\ASUS\Python_project_S\crosstest\sample\repo...
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: User C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first, TASK_ID=first, USER_ID=Smar
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user Smart student  
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second, TASK_ID=second, USER_ID=Sm
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user Smart student  
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: User C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first, TASK_ID=first, USER_ID=Be
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user Beautiful student
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second, TASK_ID=second, USER_ID=
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user Beautiful student
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: User C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first, TASK_ID=first, USER_ID=The 
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user The teacher    
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second, TASK_ID=second, USER_ID=Th
16:58:59 23.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user The teacher    
16:58:59 23.12.2024 [                     make]: |   INFO|: Parse and store all homeworks...
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
